vehicle_id,cluster_id,n_events,total_fuel_drop,mean_fuel_drop,max_fuel_drop,mean_duration,latitude,longitude
WOL991,50,2,10.819999999999993,5.409999999999997,6.060000000000002,5.0,6.2978375,-75.65453699999999
WOL981,27,2,3.839999999999989,1.9199999999999946,1.9199999999999946,6.5,6.923545612903225,-73.72583977419355
GQU478,49,2,4.060000000000002,2.030000000000001,2.030000000000001,4.0,4.563083566666666,-74.79851016666666
GQU478,34,2,4.519999999999981,2.2599999999999905,2.2599999999999905,6.5,3.8913794999999998,-76.3198145
WOL991,36,2,4.599999999999994,2.299999999999997,2.3300000000000125,11.5,7.0707426,-73.82030908387097
WOL991,43,2,6.069999999999993,3.0349999999999966,3.5,4.0,7.068583552845529,-73.81587430081301
WOL991,16,1,1.8799999999999955,1.8799999999999955,1.8799999999999955,5.0,4.266405349397591,-74.58683168674698
WOL981,36,1,3.3600000000000136,3.3600000000000136,3.3600000000000136,4.0,10.344693585714285,-75.48508418571429
WOL981,9,1,3.069999999999993,3.069999999999993,3.069999999999993,7.0,2.461614894736842,-75.68755768421052
WOL991,35,1,5.029999999999987,5.029999999999987,5.029999999999987,5.0,5.719959650793651,-74.62222
WOL981,10,1,5.539999999999992,5.539999999999992,5.539999999999992,7.0,2.463322412280702,-75.68297274561404
WOL981,30,1,1.670000000000016,1.670000000000016,1.670000000000016,4.0,3.9382622340425533,-75.01807023404255
GQU478,50,1,4.650000000000006,4.650000000000006,4.650000000000006,7.0,4.269653260869566,-74.49908495652174
GQU478,17,1,1.259999999999991,1.259999999999991,1.259999999999991,4.0,7.075716681818181,-73.83065531818181
GQU478,11,1,5.099999999999994,5.099999999999994,5.099999999999994,4.0,4.516265727272728,-74.78939318181818
GQU478,48,1,1.9800000000000182,1.9800000000000182,1.9800000000000182,4.0,4.591377,-74.786892
GQU478,3,1,5.429999999999993,5.429999999999993,5.429999999999993,4.0,6.3315101496062995,-74.43516499212599
WOL981,24,1,2.3000000000000114,2.3000000000000114,2.3000000000000114,4.0,7.810917,-73.41453133333333
WOL991,52,1,2.0799999999999983,2.0799999999999983,2.0799999999999983,4.0,6.773022666666667,-76.04440199999999
WOL991,54,1,5.290000000000006,5.290000000000006,5.290000000000006,4.0,6.75965348275862,-76.03633768965517
WOL991,56,1,3.489999999999995,3.489999999999995,3.489999999999995,4.0,4.57091352,-74.95302072
WOL991,90,1,1.3100000000000023,1.3100000000000023,1.3100000000000023,4.0,4.99893294117647,-74.53742147058823
WOL991,73,1,3.0833333333333144,3.0833333333333144,3.0833333333333144,4.0,8.965908,-73.626218
WOL991,77,1,1.970000000000027,1.970000000000027,1.970000000000027,8.0,10.641118490909092,-75.09800227272727
WOL991,78,1,1.210000000000008,1.210000000000008,1.210000000000008,4.0,10.723058846153846,-74.76340334615385
WOL991,66,1,2.9299999999999926,2.9299999999999926,2.9299999999999926,4.0,6.2933433125,-74.457933875
WOL991,64,1,1.8400000000000034,1.8400000000000034,1.8400000000000034,4.0,4.456186461538461,-75.79308723076923
WOL991,70,1,1.6200000000000045,1.6200000000000045,1.6200000000000045,22.0,7.77973959375,-73.39994246875
WOL991,108,1,2.4799999999999898,2.4799999999999898,2.4799999999999898,5.0,10.026932367346939,-75.08022434693878
WOL991,124,1,2.6400000000000006,2.6400000000000006,2.6400000000000006,4.0,6.730972533333333,-73.86737903333334
WOL991,111,1,4.490000000000009,4.490000000000009,4.490000000000009,6.0,10.136198166666667,-75.26468733333333
WOM077,7,1,6.159999999999997,6.159999999999997,6.159999999999997,187.76666666666668,7.819925778074865,-73.40128639171122
WOM077,8,1,3.0,3.0,3.0,4.0,6.861786470588235,-73.76724101680674
WOM077,19,1,9.530000000000001,9.530000000000001,9.530000000000001,7.116666666666666,6.645313392857142,-73.95252400000001
WOM077,37,1,6.439999999999998,6.439999999999998,6.439999999999998,5.0,2.4633355999999997,-75.68295817647059
WOM077,40,1,3.230000000000004,3.230000000000004,3.230000000000004,6.0,2.0506009285714284,-75.8531445
WOM077,38,1,8.929999999999993,8.929999999999993,8.929999999999993,7.3,2.3605916274509804,-75.56040049019607
